MisconceptionName,LLM_Response
Believes the number of wholes in a mixed number multiplies by the fraction part,"Question Text: \( 2 \frac{1}{4} \times 3 = ? \)
Correct Answer Text: \( 6 \frac{3}{4} \)
Wrong Answer Text: \( 6 \frac{1}{4} \)"
Estimates shares of a ratio instead of calculating,"Question Text: A bookshelf has 5 shelves, and the total height of the bookshelf is 225 cm. If the height of each shelf is in the ratio 2:3:5:5:10, what is the height of the shortest shelf?

Correct Answer Text: 30 cm

Wrong Answer Text: About 20 cm"
Estimates shares of a ratio instead of calculating,"Question Text: A bookshelf has 5 shelves, and the total height of the bookshelf is 225 cm. If the height of each shelf is in the ratio 2:3:5:5:10, what is the height of the shortest shelf?

Correct Answer Text: 30 cm

Wrong Answer Text: About 20 cm"
Confuses the ten thousands and thousands place value columns,"Question Text: Write the number forty-two thousand and five hundred in digits.
Correct Answer Text: 42,500
Wrong Answer Text: 425,000"
Confuses the ten thousands and thousands place value columns,"Question Text: Write the number forty-two thousand and five hundred in digits.
Correct Answer Text: 42,500
Wrong Answer Text: 425,000"
Does not understand the command word 'difference',"Question Text: What is the difference between 17 and 25?
Correct Answer Text: 8
Wrong Answer Text: 42"
Does not understand the command word 'difference',"Question Text: What is the difference between 17 and 25?
Correct Answer Text: 8
Wrong Answer Text: 42"
Does not understand the term multiple,"Question Text: What is a multiple of 6?
A) 5, 6, 7
B) 6, 12, 18
C) 1, 2, 3

Correct Answer Text: B) 6, 12, 18

Wrong Answer Text: A) 5, 6, 7"
Does not understand the term multiple,"Question Text: What is a multiple of 6?
A) 5, 6, 7
B) 6, 12, 18
C) 1, 2, 3

Correct Answer Text: B) 6, 12, 18

Wrong Answer Text: A) 5, 6, 7"
Does not realise that when you multiply by 0 the answer will always be 0,"Question Text: What is the value of \( 5 \times 0 \times 3 \) ?
Correct Answer Text: 0
Wrong Answer Text: 15"
Does not realise that when you multiply by 0 the answer will always be 0,"Question Text: What is the value of \( 5 \times 0 \times 3 \) ?
Correct Answer Text: 0
Wrong Answer Text: 15"
Thinks x = ? or y = ? is y = x,"Question Text: Solve for y in the equation: x = y
Correct Answer Text: y = x
Wrong Answer Text: x = y"
Thinks x = ? or y = ? is y = x,"Question Text: Solve for y in the equation: x = y
Correct Answer Text: y = x
Wrong Answer Text: x = y"
Believes squaring a fraction requires you to double both parts,"Question Text: What is \( \left(\frac{1}{2}\right)^{2} \) equal to?
Correct Answer Text: \( \frac{1}{4} \)
Wrong Answer Text: \( \frac{2}{4} \)"
Believes squaring a fraction requires you to double both parts,"Question Text: What is \( \left(\frac{1}{2}\right)^{2} \) equal to?
Correct Answer Text: \( \frac{1}{4} \)
Wrong Answer Text: \( \frac{2}{4} \)"
Thinks the interior angles of any polygon add up to 360,"Question Text: What is the sum of the interior angles of a hexagon?
Correct Answer Text: 720 degrees
Wrong Answer Text: 360 degrees"
Thinks the interior angles of any polygon add up to 360,"Question Text: What is the sum of the interior angles of a hexagon?
Correct Answer Text: 720 degrees
Wrong Answer Text: 360 degrees"
Forgot to simplify the fraction,"Question Text: Simplify the fraction: \[
\frac{6}{8}
\]
Correct Answer Text: \[
\frac{3}{4}
\]
Wrong Answer Text: \[
\frac{6}{8}
\]"
Forgot to simplify the fraction,"Question Text: Simplify the fraction: \[
\frac{6}{8}
\]
Correct Answer Text: \[
\frac{3}{4}
\]
Wrong Answer Text: \[
\frac{6}{8}
\]"
"When asked for a number n times smaller or bigger, subtracts or adds n","Question Text: 
A bookshelf is 72 cm tall. A new bookshelf is 3 times bigger. How tall is the new bookshelf?

Correct Answer Text: 
216 cm

Wrong Answer Text: 
75 cm"
"When asked for a number n times smaller or bigger, subtracts or adds n","Question Text: 
A bookshelf is 72 cm tall. A new bookshelf is 3 times bigger. How tall is the new bookshelf?

Correct Answer Text: 
216 cm

Wrong Answer Text: 
75 cm"
Does not understand bar modelling in algebra,"Question Text: Tom has been saving money for a new bike and has £120. He wants to buy a bike that costs £180. Tom's parents have agreed to give him an allowance of £5 per week for doing chores. How many weeks will it take Tom to have enough money to buy the bike?

Let x be the number of weeks. Which of the following bar models represents the situation?

Correct Answer Text: A bar model with £120 at the start and £5 being added x times to reach £180.

Wrong Answer Text: A bar model with £120 at the start and £180 being added x times."
Does not understand bar modelling in algebra,"Question Text: Tom has been saving money for a new bike and has £120. He wants to buy a bike that costs £180. Tom's parents have agreed to give him an allowance of £5 per week for doing chores. How many weeks will it take Tom to have enough money to buy the bike?

Let x be the number of weeks. Which of the following bar models represents the situation?

Correct Answer Text: A bar model with £120 at the start and £5 being added x times to reach £180.

Wrong Answer Text: A bar model with £120 at the start and £180 being added x times."
"When squaring a variable, believes they also need to square the coefficient","Question Text: What is the expanded form of \( 3x^{2} \) if it is written as \( (3x)^{2} \) ?

Correct Answer Text: \( 9x^{2} \)

Wrong Answer Text: \( 3x^{2} \)"
"When squaring a variable, believes they also need to square the coefficient","Question Text: What is the expanded form of \( 3x^{2} \) if it is written as \( (3x)^{2} \) ?

Correct Answer Text: \( 9x^{2} \)

Wrong Answer Text: \( 3x^{2} \)"
Uses more than 3 letters to describe an angle,"Question Text: What is the notation for an angle?
Correct Answer Text: A single letter, or 2 or 3 letters, e.g. A or ABC
Wrong Answer Text: More than 3 letters, e.g. ABCD"
Uses more than 3 letters to describe an angle,"Question Text: What is the notation for an angle?
Correct Answer Text: A single letter, or 2 or 3 letters, e.g. A or ABC
Wrong Answer Text: More than 3 letters, e.g. ABCD"
Believes dividing a negative by a positive gives a positive answer,"Question Text: What is the result of \( -12 \div 4 \) ?
Correct Answer Text: \( -3 \)
Wrong Answer Text: \( 3 \)"
Believes dividing a negative by a positive gives a positive answer,"Question Text: What is the result of \( -12 \div 4 \) ?
Correct Answer Text: \( -3 \)
Wrong Answer Text: \( 3 \)"
Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,"Question Text: What is the formula to find the total interior angles in a polygon with 'n' sides?

Correct Answer Text: (n-2) × 180

Wrong Answer Text: (n+2) × 180"
Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,"Question Text: What is the formula to find the total interior angles in a polygon with 'n' sides?

Correct Answer Text: (n-2) × 180

Wrong Answer Text: (n+2) × 180"
Enlarges by the wrong centre of enlargement,"Question Text: A shape is enlarged by a scale factor of 2. The original shape has a point at (2,3). If the centre of enlargement is at (1,1), what will be the coordinates of the enlarged point?
Correct Answer Text: (3,5)
Wrong Answer Text: (4,6)"
Enlarges by the wrong centre of enlargement,"Question Text: A shape is enlarged by a scale factor of 2. The original shape has a point at (2,3). If the centre of enlargement is at (1,1), what will be the coordinates of the enlarged point?
Correct Answer Text: (3,5)
Wrong Answer Text: (4,6)"
Rounded to wrong degree of accuracy (2sf not 1sf),"Question Text: A book measures 25.7 cm in length. What is its length to 1 significant figure?
Correct Answer Text: 30 cm
Wrong Answer Text: 26 cm"
Rounded to wrong degree of accuracy (2sf not 1sf),"Question Text: A book measures 25.7 cm in length. What is its length to 1 significant figure?
Correct Answer Text: 30 cm
Wrong Answer Text: 26 cm"
Believes the sides of an inequality can be switched without changing the direction of the sign,"Question Text: Solve for \( x \) in the inequality \( 5 > 2x + 1 \).
Correct Answer Text: \( x < 2 \)
Wrong Answer Text: \( x > 2 \)"
Believes the sides of an inequality can be switched without changing the direction of the sign,"Question Text: Solve for \( x \) in the inequality \( 5 > 2x + 1 \).
Correct Answer Text: \( x < 2 \)
Wrong Answer Text: \( x > 2 \)"
Multiplies by 1000 instead of 100 when converting a decimal to a percentage,"Question Text: Convert 0.45 to a percentage.
Correct Answer Text: 45%
Wrong Answer Text: 450%"
Multiplies by 1000 instead of 100 when converting a decimal to a percentage,"Question Text: Convert 0.45 to a percentage.
Correct Answer Text: 45%
Wrong Answer Text: 450%"
Believes midpoint multiplied by frequency is equivalent to frequency density,"Question Text: A survey of exam scores has the following results:
Score 1-10: 5 students
Score 11-20: 10 students
Score 21-30: 15 students
To calculate the frequency density for the score range 11-20, which of the following calculations is correct?

Correct Answer Text: \( \frac{10}{10} \)
Wrong Answer Text: \( 15.5 \times 10 \)"
Believes midpoint multiplied by frequency is equivalent to frequency density,"Question Text: A survey of exam scores has the following results:
Score 1-10: 5 students
Score 11-20: 10 students
Score 21-30: 15 students
To calculate the frequency density for the score range 11-20, which of the following calculations is correct?

Correct Answer Text: \( \frac{10}{10} \)
Wrong Answer Text: \( 15.5 \times 10 \)"
Believes the mean is the number of categories given divided by something,"Question Text: A survey of favorite colors was conducted among 12 students. The results are as follows:
4 students like blue, 4 students like green, and 4 students like red. What is the mean number of students who like each color?

Correct Answer Text: 4

Wrong Answer Text: 12 / 3 = 4, so the mean is the total number of students (12) divided by the number of categories (3 colors), which is 4. This is correct, but the reasoning is wrong, the correct reasoning is that the mean is simply the number of students in each category, which happens to be 4 in this case."
Believes the mean is the number of categories given divided by something,"Question Text: A survey of favorite colors was conducted among 12 students. The results are as follows:
4 students like blue, 4 students like green, and 4 students like red. What is the mean number of students who like each color?

Correct Answer Text: 4

Wrong Answer Text: 12 / 3 = 4, so the mean is the total number of students (12) divided by the number of categories (3 colors), which is 4. This is correct, but the reasoning is wrong, the correct reasoning is that the mean is simply the number of students in each category, which happens to be 4 in this case."
Believes that the complement of a set includes any elements which are also in another set.,"Question Text: 
Set A = {1, 2, 3, 4, 5} and Set B = {4, 5, 6, 7, 8}. What is the complement of Set A?

Correct Answer Text: 
The complement of Set A is all elements not in Set A, which would be all numbers not in {1, 2, 3, 4, 5}. In the context of Sets A and B, this would include {6, 7, 8} and any other elements not in Set A.

Wrong Answer Text: 
The complement of Set A is {6, 7, 8} and also includes {4, 5} because they are in Set B."
Believes that the complement of a set includes any elements which are also in another set.,"Question Text: 
Set A = {1, 2, 3, 4, 5} and Set B = {4, 5, 6, 7, 8}. What is the complement of Set A?

Correct Answer Text: 
The complement of Set A is all elements not in Set A, which would be all numbers not in {1, 2, 3, 4, 5}. In the context of Sets A and B, this would include {6, 7, 8} and any other elements not in Set A.

Wrong Answer Text: 
The complement of Set A is {6, 7, 8} and also includes {4, 5} because they are in Set B."
Confuses the terms edges and vertices,"Question Text: A cube has 8 corners and 12 lines where the faces meet. What are the names of these features on a 3D shape?
Correct Answer Text: The 8 corners are called vertices and the 12 lines are called edges.
Wrong Answer Text: The 8 corners are called edges and the 12 lines are called vertices."
Confuses the terms edges and vertices,"Question Text: A cube has 8 corners and 12 lines where the faces meet. What are the names of these features on a 3D shape?
Correct Answer Text: The 8 corners are called vertices and the 12 lines are called edges.
Wrong Answer Text: The 8 corners are called edges and the 12 lines are called vertices."
"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds","Question Text: Simplify \( \sqrt{8} + \sqrt{18} \).
Correct Answer Text: \( 2\sqrt{2} + 3\sqrt{2} = 5\sqrt{2} \)
Wrong Answer Text: \( \sqrt{26} \)"
"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds","Question Text: Simplify \( \sqrt{8} + \sqrt{18} \).
Correct Answer Text: \( 2\sqrt{2} + 3\sqrt{2} = 5\sqrt{2} \)
Wrong Answer Text: \( \sqrt{26} \)"
"When asked for the value of a digit, gives an answer 10 times too big","Question Text: What is the value of the digit 4 in the number 45?
Correct Answer Text: 4
Wrong Answer Text: 40"
"When asked for the value of a digit, gives an answer 10 times too big","Question Text: What is the value of the digit 4 in the number 45?
Correct Answer Text: 4
Wrong Answer Text: 40"
Does not realise that division can be broken down into factors,"Question Text: 
Simplify the expression: \( 48 \div 6 \div 2 \)

Correct Answer Text: \( 48 \div(6 \times 2) = 48 \div 12 = 4 \)

Wrong Answer Text: \( (48 \div 6) \div 2 = 8 \div 2 = 4 \)"
Does not realise that division can be broken down into factors,"Question Text: 
Simplify the expression: \( 48 \div 6 \div 2 \)

Correct Answer Text: \( 48 \div(6 \times 2) = 48 \div 12 = 4 \)

Wrong Answer Text: \( (48 \div 6) \div 2 = 8 \div 2 = 4 \)"
Believes y=-f(x) is a reflection in y=x,"Question Text: What is the transformation represented by the function y = -f(x), where f(x) is the original function?
Correct Answer Text: A reflection in the x-axis
Wrong Answer Text: A reflection in the line y = x"
Believes y=-f(x) is a reflection in y=x,"Question Text: What is the transformation represented by the function y = -f(x), where f(x) is the original function?
Correct Answer Text: A reflection in the x-axis
Wrong Answer Text: A reflection in the line y = x"
Thinks corresponding angles sum to 360 degrees,"Question Text: Two lines intersect to form a pair of corresponding angles. If one angle measures 120 degrees, what is the measure of the corresponding angle?
Correct Answer Text: 120 degrees
Wrong Answer Text: 240 degrees"
Thinks corresponding angles sum to 360 degrees,"Question Text: Two lines intersect to form a pair of corresponding angles. If one angle measures 120 degrees, what is the measure of the corresponding angle?
Correct Answer Text: 120 degrees
Wrong Answer Text: 240 degrees"
Doesn't believe that when you divide by 0 the answer will always be 0,"Question Text: What is the value of \( 8 \div 0 \) ?
Correct Answer Text: This is undefined, you cannot divide by 0
Wrong Answer Text: 0"
Doesn't believe that when you divide by 0 the answer will always be 0,"Question Text: What is the value of \( 8 \div 0 \) ?
Correct Answer Text: This is undefined, you cannot divide by 0
Wrong Answer Text: 0"
"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction","Question Text: 
Tom has \( \frac{3}{4} \) of a pizza that has been cut into 12 slices. How many slices of pizza does Tom have?

Correct Answer Text: 
\( \frac{3}{4} \times 12 = 9 \) slices

Wrong Answer Text: 
\( 12 \div 4 = 3 \) slices"
"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction","Question Text: 
Tom has \( \frac{3}{4} \) of a pizza that has been cut into 12 slices. How many slices of pizza does Tom have?

Correct Answer Text: 
\( \frac{3}{4} \times 12 = 9 \) slices

Wrong Answer Text: 
\( 12 \div 4 = 3 \) slices"
Does not use angle facts when setting up an equation from an angle diagram,"Question Text: In the diagram, angles A and B are complementary. If angle A is x degrees and angle B is 3x degrees, what is the value of x?

Correct Answer Text: Since angles A and B are complementary, their sum is 90 degrees. Set up the equation x + 3x = 90.

Wrong Answer Text: Since angles A and B are complementary, angle A must be 45 degrees. Set up the equation x = 45."
Does not use angle facts when setting up an equation from an angle diagram,"Question Text: In the diagram, angles A and B are complementary. If angle A is x degrees and angle B is 3x degrees, what is the value of x?

Correct Answer Text: Since angles A and B are complementary, their sum is 90 degrees. Set up the equation x + 3x = 90.

Wrong Answer Text: Since angles A and B are complementary, angle A must be 45 degrees. Set up the equation x = 45."
When asked for a specific term in a sequence gives the term before,"Question Text: What is the 5th term in the sequence: 2, 5, 8, 11, 14, 17?
Correct Answer Text: 14
Wrong Answer Text: 11"
When asked for a specific term in a sequence gives the term before,"Question Text: What is the 5th term in the sequence: 2, 5, 8, 11, 14, 17?
Correct Answer Text: 14
Wrong Answer Text: 11"
Thinks circumference is radius x pi,"Question Text: What is the formula for the circumference of a circle?
Correct Answer Text: Circumference = 2 x π x radius
Wrong Answer Text: Circumference = radius x π"
Thinks circumference is radius x pi,"Question Text: What is the formula for the circumference of a circle?
Correct Answer Text: Circumference = 2 x π x radius
Wrong Answer Text: Circumference = radius x π"
Believes the arrow on a number line points to the middle value,"Question Text: A number line has the numbers 0, 5, and 10 marked. If the number 7 is to be marked, where should the arrow point?
Correct Answer Text: The arrow should point to the 7.
Wrong Answer Text: The arrow should point to the 5, because it is the middle value between 0 and 10."
Believes the arrow on a number line points to the middle value,"Question Text: A number line has the numbers 0, 5, and 10 marked. If the number 7 is to be marked, where should the arrow point?
Correct Answer Text: The arrow should point to the 7.
Wrong Answer Text: The arrow should point to the 5, because it is the middle value between 0 and 10."
"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored ","Question Text: Evaluate the expression: \( 8 - (-3) \)

Correct Answer Text: \( 8 + 3 = 11 \)

Wrong Answer Text: \( 8 - 3 = 5 \)"
"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored ","Question Text: Evaluate the expression: \( 8 - (-3) \)

Correct Answer Text: \( 8 + 3 = 11 \)

Wrong Answer Text: \( 8 - 3 = 5 \)"
Assumes a negative number is not rational,"Question Text: Is the number \( -\frac{3}{4} \) rational?
Correct Answer Text: Yes
Wrong Answer Text: No"
Assumes a negative number is not rational,"Question Text: Is the number \( -\frac{3}{4} \) rational?
Correct Answer Text: Yes
Wrong Answer Text: No"
Believes the solution to mx + c = a is the x intercept of y = mx +c,"Question Text: What is the solution to the equation \( 2x + 3 = 7 \) ?


Correct Answer Text: \( x = 2 \)


Wrong Answer Text: The point where the line \( y = 2x + 3 \) crosses the x-axis."
Believes the solution to mx + c = a is the x intercept of y = mx +c,"Question Text: What is the solution to the equation \( 2x + 3 = 7 \) ?


Correct Answer Text: \( x = 2 \)


Wrong Answer Text: The point where the line \( y = 2x + 3 \) crosses the x-axis."
"When dividing, confuses the remainder with the quotient","Question Text: Ben has 17 cookies that he wants to put into boxes of 3 cookies each. How many boxes can Ben fill with the cookies he has?
Correct Answer Text: 5 with 2 cookies left over
Wrong Answer Text: 2"
"When dividing, confuses the remainder with the quotient","Question Text: Ben has 17 cookies that he wants to put into boxes of 3 cookies each. How many boxes can Ben fill with the cookies he has?
Correct Answer Text: 5 with 2 cookies left over
Wrong Answer Text: 2"
Cannot identify a common factor when simplifying algebraic fractions,"Question Text: Simplify the expression: \[
\frac{6x}{12x}
\]

Correct Answer Text: \[
\frac{1}{2}
\]

Wrong Answer Text: \[
\frac{6}{12}
\]"
Cannot identify a common factor when simplifying algebraic fractions,"Question Text: Simplify the expression: \[
\frac{6x}{12x}
\]

Correct Answer Text: \[
\frac{1}{2}
\]

Wrong Answer Text: \[
\frac{6}{12}
\]"
