,QuestionId_Answer,ConstructName,SubjectName,QuestionText,CorrectAnswer,IncorrectAnswer,MisconceptionName,Cluster
10,4_D,Substitute positive integer values into formulae involving powers or roots,Substitution into Formula,"The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}",\( 30 \),\( 24 \),Thinks you can find missing values in a given table by treating the row as linear and adding on the difference between the first two values given.,41
11,5_A,Identify a unit of area,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( \mathrm{mm}^{2} \),\( m \),Does not know units of area should be squared,21
12,5_B,Identify a unit of area,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( \mathrm{mm}^{2} \),\( \mathrm{cm} \),Does not know units of area should be squared,21
13,5_C,Identify a unit of area,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( \mathrm{mm}^{2} \),\( \mathrm{km}^{3} \),Does not know units of area should be squared,21
14,6_A,Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",\( \frac{31}{50} \),\( \frac{62}{10} \),Does not understand a percentage is out of 100,101
15,6_C,Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",\( \frac{31}{50} \),\( \frac{6}{2} \),Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.,11
16,6_D,Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",\( \frac{31}{50} \),None of these,Does not understand a percentage is out of 100,101
17,7_B,Divide decimals by 10,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),\( 4.32 \),\( 0.432 \),Divided by 100 rather than 10,90
18,7_C,Divide decimals by 10,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),\( 4.32 \),\( 33.2 \),Subtracts instead of divides,112
19,7_D,Divide decimals by 10,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),\( 4.32 \),\( 43.02 \),"When dividing a decimal by a multiple of 10, just divides the fractional place values ",90
20,8_B,Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",\( 7 \),\( 5 \),Does not find a common denominator when adding/subtracting fractions,55
21,8_C,Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",\( 7 \),\( 17 \),Adds instead of subtracts,35
22,8_D,Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",\( 7 \),\( 3 \),Does not find a common denominator when adding/subtracting fractions,55
23,9_A,Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)","Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)",Believes f(x - a) translates the function up a units,88
24,9_B,Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)","Translation by vector
\(
\left[\begin{array}{c}
0 \\
-3
\end{array}\right]
\)",Believes f(x + a) translates the function up a units,88
25,9_D,Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)","Translation by vector
\(
\left[\begin{array}{r}
-3 \\
0
\end{array}\right]
\)",Believes f(x) + a translates the function right a units,88
26,10_C,Expand products of three binomials in the form (x + a)(x + b)(x + c),Expanding Triple Brackets and more,"John is expanding these three brackets:
\(
(x+5)(x-3)(x+6)
\)

He finds it helpful to split the first bracket and view the problem as follows:
\(
x(x-3)(x+6)+5(x-3)(x+6)
\)

He expands the brackets further. Before he simplifies, what are the terms than contain an \( \boldsymbol{x}^{2} \) ?",\( \begin{array}{l}+6 x^{2} \\ -3 x^{2} \\ +5 x^{2}\end{array} \),\( \begin{array}{l}+6 x^{2} \\ +3 x^{2} \\ +5 x^{2}\end{array} \),Ignores negative sign when expanding bracket,99
27,11_A,Identify the net of a non-prism,Nets,This is the net of a... ![A circle touching a sector](),Cone,Triangle,Struggles to visualise nets of 3D shapes,10
28,11_B,Identify the net of a non-prism,Nets,This is the net of a... ![A circle touching a sector](),Cone,Triangular prism,Struggles to visualise nets of 3D shapes,10
29,11_C,Identify the net of a non-prism,Nets,This is the net of a... ![A circle touching a sector](),Cone,Triangularbased pyramid,Struggles to visualise nets of 3D shapes,10
30,12_B,Identify alternate angles,Angle Facts with Parallel Lines,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()","Only
Tom","Only
Katie",Thinks alternate angles are always equal,66
31,12_C,Identify alternate angles,Angle Facts with Parallel Lines,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()","Only
Tom",Both Tom and Katie,Thinks alternate angles are always equal,66
32,12_D,Identify alternate angles,Angle Facts with Parallel Lines,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()","Only
Tom",Neither is correct,Thinks only angles on parallel lines can be alternate,7
33,13_C,Convert from hours to minutes,Time,"Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?",\( 18 \) minutes,\( 102 \) minutes,Answers as if there are 100 minutes in an hour when changing from hours to minutes,43
34,14_A,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",\( 4.79 \),\( 4.78 \),Stops iteration too early when solving equations,52
35,14_B,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",\( 4.79 \),\( 4.79128 \ldots \),Rounds to the wrong degree of accuracy (rounds too little),102
36,14_C,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",\( 4.79 \),\( 4.8 \),Rounds to the wrong degree of accuracy (significant figures rather than decimal places),102
37,15_B,Calculate the area of an equilateral triangle where the dimensions are given in the same units,Area of Simple Shapes,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",None of these,\( \frac{12 \times 12}{2} \),Has used slant height and base to find area of a triangle rather than perpendicular height and base,108
38,15_C,Calculate the area of an equilateral triangle where the dimensions are given in the same units,Area of Simple Shapes,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",None of these,\( \frac{12 \times 12 \times 12}{2} \),Multiplies all given dimensions when calculating an area,108
39,16_A,"Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",\( 18 \mathrm{~m} \),\( 16 \mathrm{~m} \),Divides total amount by each side of the ratio instead of dividing by the sum of the parts,81
40,16_B,"Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",\( 18 \mathrm{~m} \),\( 30 \mathrm{~m} \),Mixes up sides of a ratio,25
41,16_C,"Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",\( 18 \mathrm{~m} \),\( 6 \mathrm{~m} \),Finds one part of a ratio but doesn't multiply that by the number of parts needed,25
42,17_A,Prove statements involving odd and even numbers,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),\( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\end{array} \),Does not understand that 2n represents an even number,5
43,17_B,Prove statements involving odd and even numbers,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),\( \begin{array}{l}(2 n-1)(2 m+1) \\ =4 m n+2 n-2 m-1 \\ =2(2 m n-n-m)+1\end{array} \),"Does not know the meaning of the word ""sum""",2
44,17_C,Prove statements involving odd and even numbers,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),\( \begin{array}{l}\text { Odd + Odd } \\ =\text { even }\end{array} \),Does not understand that 2n represents an even number,5
45,18_A,Carry out missing number subtraction problems involving negative integers,Adding and Subtracting Negative Numbers,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",\( -5 \),\( -7 \),Assumes that an arrow on a number line starts at zero,39
46,18_D,Carry out missing number subtraction problems involving negative integers,Adding and Subtracting Negative Numbers,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",\( -5 \),\( -6 \),Counts the starting number when counting backwards,35
47,19_A,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,Adding and Subtracting Algebraic Fractions,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",\( \frac{3-s t}{3 s} \),\( \frac{1-t}{3 s} \),"When subtracting fractions, subtracts the numerators and multiplies the denominators",55
48,19_B,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,Adding and Subtracting Algebraic Fractions,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",\( \frac{3-s t}{3 s} \),\( \frac{s-3 t}{3 s} \),Believes they should multiply each numerator by its original denominator when adding/subtracting fractions,55
49,19_D,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,Adding and Subtracting Algebraic Fractions,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",\( \frac{3-s t}{3 s} \),\( \frac{1-t}{s-3} \),Does not find a common denominator when adding/subtracting fractions,55
50,20_D,"Given the volume of a cuboid, work out missing information",Volume of Prisms,"The volume of this cuboid is \( 30 \mathrm{~cm}^{3} \)

What length should replace the star? ![A cuboid, depth 2cm and height 3cm. The width is labelled with a star.]()",\( 5 \mathrm{~cm} \),\( 25 \mathrm{~cm} \),Adds when calculating volume instead of multiplying,62
51,21_A,Factorise a quadratic expression in the form ax² + bx + c where a is prime,Factorising into a Double Bracket,"Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)",\( (3 x+2)(x+1) \),\( (3 x+2)(3 x+1) \),"When factorising a quadratic with a non-unit coefficient of x squared, believes that coefficient will be in front of both x terms in the factorised form",87
52,22_B,"Given the solution to one problem, deduce the answer to a related problem using the same operation",Mental Addition and Subtraction,"Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?",Only Tom,Only Katie,Does not realise that adding a larger number gives a larger answer,35
53,22_C,"Given the solution to one problem, deduce the answer to a related problem using the same operation",Mental Addition and Subtraction,"Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?",Only Tom,Both Tom and Katie,Does not realise that subtracting a larger number will give a smaller answer,35
54,23_B,Interpret sloping linear sections of a displacement-time graph,Real Life Graphs,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Fido is walking home,Fido has fallen asleep,Confuses rest and movement on a distance time graph,16
55,23_C,Interpret sloping linear sections of a displacement-time graph,Real Life Graphs,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Fido is walking home,Fido is accelerating,Believes the gradient of a distance-time graph is the acceleration,16
56,23_D,Interpret sloping linear sections of a displacement-time graph,Real Life Graphs,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Fido is walking home,Fido is walking away from home,Believes a downward slope on a distance-time graph means travelling away,16
57,24_C,Solve missing number mental multiplication questions,Mental Multiplication and Division,"What should replace the star?
\[
\bigstar \times 4=108
\]",\( 27 \),\( 432 \),"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation",100
58,24_D,Solve missing number mental multiplication questions,Mental Multiplication and Division,"What should replace the star?
\[
\bigstar \times 4=108
\]",\( 27 \),\( 104 \),Adds instead of multiples,95
59,25_B,Calculate speed where distance and time are in the appropriate units,Substitution into Formula,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",\( 0.4 \) metres per hour,\( 40 \) metres per hour,Believes speed is distance multiplied by time,45
60,25_C,Calculate speed where distance and time are in the appropriate units,Substitution into Formula,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",\( 0.4 \) metres per hour,\( 2.5 \) metres per hour,Believes division is commutative ,27
61,26_B,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²",Equation of a Circle,"What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=16 \),\( x^{2}+y^{2}=\sqrt{4} \),Confuses the square root of the radius with the radius squared in the equation of a circle,47
62,26_C,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²",Equation of a Circle,"What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=16 \),\( x^{2}+y^{2}=8 \),Mixes up squaring and multiplying by 2 or doubling,113
63,26_D,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²",Equation of a Circle,"What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=16 \),\( x^{2}+y^{2}=4 \),Confuses the radius with the radius squared in the equation of a circle,58
64,27_B,Substitute negative integer values into expressions involving no powers or roots,Substitution into Formula,If \( d=-2 \) what is the value of \( 10-2 d \) ?,\( 14 \),\( 6 \),Believes multiplying two negatives gives a negative answer,99
65,28_A,Count backwards in steps of of something other than one,Counting,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?","\( 19,098 \)","\( 19,102 \)","Counts on by 1, when asked to count forward/backwards in a step other than 1",80
66,28_B,Count backwards in steps of of something other than one,Counting,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?","\( 19,098 \)","\( 19,099 \)",Counts the starting number when counting backwards,35
67,29_A,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,Solving Linear Inequalities,"Solve
\[
2 n+3 \leq 3 n-7
\]",\( 10 \leq n \),\( 2 \leq n \),"When solving an equation, uses the same operation rather than the inverse.",13
68,29_C,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,Solving Linear Inequalities,"Solve
\[
2 n+3 \leq 3 n-7
\]",\( 10 \leq n \),\( n \leq 10 \),Believes they can multiply/divide through by a negative number without changing the direction of the inequality,12
69,29_D,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,Solving Linear Inequalities,"Solve
\[
2 n+3 \leq 3 n-7
\]",\( 10 \leq n \),\( -4 \leq n \),"When solving an equation, uses the same operation rather than the inverse.",13
70,30_C,Determine the function of a single function machine used to create an algebraic expression,Function Machines,"Tom and Katie are discussing this function machine ![A function machine with an input of m+2, no function labelled and an output of 3m+2]() Tom says the function could be \( +2 m \)
Katie says the function could be \( \times 3 \)
Who do you agree with?","Only
Tom",Both Tom and Katie,Only multiplies the first term in the expansion of a bracket,64
71,31_B,Convert between cm and m,Length Units,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,\( 4.5 \),\( 45 \),Thinks there are 10cm in a metre,54
72,31_C,Convert between cm and m,Length Units,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,\( 4.5 \),\( 5 \),Gives a rounded whole number instead of a decimal,36
73,31_D,Convert between cm and m,Length Units,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,\( 4.5 \),\( 45000 \),Multiplies when converting to a larger unit,38
74,32_A,"Solve linear equations with the variable appearing on both sides, involving positive fractions",Linear Equations,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",\( 2 r-3=10+5 r \),\( \frac{2 r}{5}=5+r \),Adds or subtracts from numerator first when solving an equation with a fraction,13
75,32_B,"Solve linear equations with the variable appearing on both sides, involving positive fractions",Linear Equations,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",\( 2 r-3=10+5 r \),\( 10 r-15=10+5 r \),Incorrectly clears fractions from equations,91
76,32_C,"Solve linear equations with the variable appearing on both sides, involving positive fractions",Linear Equations,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",\( 2 r-3=10+5 r \),\( 2 r-3=10+r \),"When solving an equation with a fraction, thinks you don't need to multiply every term on both sides when multiplying by the denominator ",52
77,33_A,Given a situation sketch an appropriate real life graph,Real Life Graphs,"Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()","![A shape that looks like a beaker. It has a circular base, with sloped edges up to a larger circular face at the top.]()",![A cylinder sitting on one of its circular faces.](),Does not interpret a sloping gradient as a change in rate,28
78,33_C,Given a situation sketch an appropriate real life graph,Real Life Graphs,"Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()","![A shape that looks like a beaker. It has a circular base, with sloped edges up to a larger circular face at the top.]()",![A narrow cylinder with a wide cylinder on top.](),Does not spot the difference between a gradual change of gradient and 2 distinct line segments with different constant gradients,28
79,34_A,Find another power of 10 less than a given number,Place Value,"What number is \( 10,000 \) less than \( 901,426 \) ?","\( 891,426 \)","\( 801,426 \)","When subtracting a power of 10, subtracts from the wrong column",90
80,34_B,Find another power of 10 less than a given number,Place Value,"What number is \( 10,000 \) less than \( 901,426 \) ?","\( 891,426 \)","\( 911,426 \)",Adds rather than subtracts when answering worded problems,97
81,34_D,Find another power of 10 less than a given number,Place Value,"What number is \( 10,000 \) less than \( 901,426 \) ?","\( 891,426 \)",\( 90.1426 \),Divides rather than subtracts when given the command 'less than',112
82,35_B,Convert decimals less than 1 with 1 decimal place to percentages,Converting between Decimals and Percentages,"Convert this decimal to a percentage
\[
0.6
\]",\( 60 \% \),\( 6 \% \),Multiplies by 10 instead of 100 when converting decimal to percentage,20
83,35_C,Convert decimals less than 1 with 1 decimal place to percentages,Converting between Decimals and Percentages,"Convert this decimal to a percentage
\[
0.6
\]",\( 60 \% \),\( 0.6 \% \),Thinks you need to just add a % sign to a decimal to convert to a percentage,20
84,35_D,Convert decimals less than 1 with 1 decimal place to percentages,Converting between Decimals and Percentages,"Convert this decimal to a percentage
\[
0.6
\]",\( 60 \% \),\( 0.006 \% \),Divides instead of multiplies when converting a decimal to a percentage,20
85,36_A,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,Simplifying Expressions by Collecting Like Terms,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",\( 4 d \),\( 4 \times d \),Does not realize we can omit the multiplication symbol in algebraic expressions,24
86,36_B,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,Simplifying Expressions by Collecting Like Terms,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",\( 4 d \),\( d 4 \),Writes the variable before the coefficient in an algebraic term,79
87,36_D,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,Simplifying Expressions by Collecting Like Terms,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",\( 4 d \),\( d^{4} \),Confuses collecting like terms with multiplication,79
88,37_A,Simplify fractions that simplify to a unit fraction,Simplifying Fractions,"Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",\( \frac{3}{4} \),\( \frac{3}{6} \),Believes when simplifying a fraction you can divide the numerator and denominator by different values,91
89,37_D,Simplify fractions that simplify to a unit fraction,Simplifying Fractions,"Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",\( \frac{3}{4} \),\( \frac{9}{12} \),Does not recognise when a fraction can be simplified,91
90,38_B,Add algebraic fractions where one denominator is a multiple of the other,Adding and Subtracting Algebraic Fractions,"Write this as a single fraction as simply as possible:
\(
\frac{3}{2 x}+\frac{4}{x}
\)",\( \frac{11}{2 x} \),\( \frac{7}{3 x} \),"When adding fractions, adds the numerators and denominators",55
