,MisconceptionId,MisconceptionName,Cluster
81,81,Thinks you subtract rather than add when finding the previous term in a descending linear sequence,80
82,82,Believes the square of a negative will also be negative,99
83,83,Confuses the meaning of perpendicular and vertical ,15
84,84,Believes greater than/less than symbols include end values,12
85,85,Does not remember that a rhombus has equal sides,66
86,86,Assumes value of symbols in a pictogram without checking the key,17
87,87,Does not know what an exterior angle is ,63
88,88,Believes parallelogram is the term used to describe two lines at right angles,15
89,89,Thinks it can't be called a sequence with a repeated number at the start,80
90,90,Does not understand place value after the decimal point,36
91,91,"When asked for factors of an algebraic expression, thinks any part of a term will be a factor",87
92,92,"When identifying the center of rotation, writes down the origin",39
93,93,"When multiplying a surd of the form a✓b by an integer, believes the integer and the number under the surd are multiplied",50
94,94,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical",53
95,95,Does not know about the + notation for directions in rotations,83
96,96,Multiplies surds when asked to add,50
97,97,Believes there is only one orientation for the isosceles triangle base angles,49
98,98,Incorrectly clears fractions from equations,91
99,99,Thinks the faster you travel the longer the time it will take,43
100,100,Believes angles in a triangle sum to 360 degrees,49
101,101,Believes that reflection always switches the x and y coordinates,71
102,102,Does not think a factorised expression is equivalent to its multiplied out form,64
103,103,"When completing the square, believes the constant in the bracket is double the coefficient of x",40
104,104,Assumes a sequence is linear,80
105,105,Mixes up sides of a ratio,25
106,106,Believes an arrowhead has four equal sides,66
107,107,"When expanding brackets, multiplies out the first term correctly but adds together the number outside the bracket with the second term inside the bracket.",95
108,108,Uses only the first two terms of a sequence to work out a term-to-term rule,80
109,109,Thinks a factor of the final digit is also a factor of the whole number,33
110,110,Does not know how to find the length of a line segment from coordinates,71
111,111,Does not work out all possibilites when given an 'at least' question in probability,14
112,112,Thinks the difference between the numerator and denominator determines how close the fraction is to 1,91
113,113,Does not recognise difference of two squares,87
114,114,Does not know the meaning of the word parallel,7
115,115,Believes fraction to decimal conversion is done by writing the numerator as a decimal,19
116,116,Believes an outlier is determined by the number of decimal places a number has,36
117,117,"Believes that in completed square form, they need to change the signs of both values to get the turning point",22
118,118,"Given a line segment with a midpoint that is not the origin, assumes that the two end points will still have the same absolute value",89
119,119,Believes distance = speed + time,45
120,120,Does not understand equivalent fractions,91
121,121,Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency,8
122,122,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator,11
123,123,Rounds incorrectly when the nearest 10 is a multiple of 100,102
124,124,Believes perpendicular bisectors is the term used to describe two lines that are parallel,15
125,125,Thinks the division sign means to add,112
126,126,Multiplies rather than adds when given the command word 'more',2
127,127,Thinks the fraction to decimal conversion button on a calculator can be used to raise to a power,19
128,128,Does not understand how to read both x and y coordinates,71
129,129,Believes they can change only one side of a ratio and it will remain equivalent,81
130,130,"Believes that for a line written in the form ax + by = c, a is the gradient",28
131,131,Does not think a number can be a factor of itself,33
132,132,Only considers the positive solution when calculating a square root,47
133,133,Believes dividing by a unit fraction is equivalent to dividing by its reciprocal,61
134,134,Misreads scale,72
135,135,Thinks the value of an exterior angle is 360 degrees,44
136,136,Does not recognise a reciprocal equation,52
137,137,Does not know the meaning of the word identity ,42
138,138,"When solving a problem using written division (bus-stop method), does the calculation from right to left",27
139,139,Thinks triple means add three,49
140,140,Believes cumulative frequency is plotted at the lower bound of the class,51
141,141,"In completed square form, confuses the x and y coordinates of the turning point",22
142,142,"When given a linear sequence, cannot match it to a visual pattern",80
143,143,"Thinks that when you cancel identical terms from the numerator and denominator, they just disappear",87
144,144,Mixes up the x and y values of the coordinates,71
145,145,Does not know how to convert percentages with a decimal point into decimals,20
146,146,Has multiplied by the root power,47
147,147,Multiplies instead of dividing when distributing a total amount,38
148,148,Confuses theoretical and experimental probability,14
149,149,Believes P(success) in probability notation means the number of successes,14
150,150,Confuses written 'teen' numbers with their corresponding single-digit number,85
151,151,"When dividing decimals, does not realize that the order and position of the digits (relative to each other) has to remain constant.",85
152,152,"Believes that the smaller a divisor is, the smaller the answer will be",59
153,153,"When dividing decimals with the same number of decimal places as each other, assumes the answer also has the same number of decimal places",27
154,154,Assumes an angle has been split into equal parts,66
155,155,Forgets to apply inverse trigonometric function when finding an angle,63
156,156,Confuses the graph of a linear equation with a quadratic equation,37
157,157,Believes squared units can be used to measure lengths,21
158,158,"Believes addition comes before indices, in orders of operation",109
159,159,Does not divide by 2 when calculating the area of a triangle,30
160,160,Believes that adding a positive to a negative makes your answer more negative,78
161,161,Answers as if there are 100 minutes in an hour when changing from hours to minutes,43
162,162,Uses first term as numerical part of nth term rule,41
163,163,Thinks only one variable can introduce bias,52
164,164,Does not reduce the denominator when an item is not replaced in a probability question,84
165,165,"Believes that in y=mx+c, m is the x-intercept",77
166,166,"Believes that in completed square form, they need to change the sign of the constant to get the turning point",22
167,167,Does not recognise factorising a quadratic,87
168,168,Believes composite function notation means to substitute the outer function into the inner function,64
169,169,"When subtracting a fraction from a mixed number, assumes they just subtract the numerator from the integer of the mixed number",23
170,170,Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount,52
171,171,"When simplifying surds, does not multiply the number in front of the surd with the square root of the largest square number that has been removed from the surd",50
172,172,"When subtracting fractions, subtracts the numerators and denominators",55
173,173,"Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten. ",90
174,174,Confuses major and minor sector,58
175,175,"Thinks that when multiplying decimals (less than 1), the number will get bigger",106
176,176,Believes that a reciprocal equation is defined when the denominator is 0,27
177,177,"When the change in value is greater than the original amount, thinks percentage change = original/change x 100",101
178,178,Thinks that the 10 becomes a 20 when adding in standard form ,32
179,179,Does not understand the difference between a value on a graph and the gradient of a graph,28
180,180,Writes the digit 3 times instead of cubing,68
181,181,Assumes a ratio is part to part instead of part to whole,25
182,182,Believes parallel lines have gradients of opposite signs,16
183,183,Has confused cube numbers with prime numbers,68
184,184,Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid,48
185,185,Thinks a positive y value in a column vector means to move down rather than up ,0
186,186,Does not understand the meaning of the word commutative ,24
187,187,Thinks there are 10cl in a litre,31
188,188,Believes interquartile range is the difference between one of the quartiles and the minimum value,67
189,189,"When multiplying decimals, ignores place value and just multiplies the digits",106
190,190,"Does not account for grammar when writing algebra e.g. ,then making a group",52
191,191,Believes that product means add rather than multiply,95
192,192,Does not know how to calculate the volume of a prism,62
193,193,Believes a cyclic quadrilateral can be self-intersecting,10
194,194,"Believes the sides of a square must be horizontal and vertical, not diagonal",107
195,195,"When solving an equation, thinks the divisor and dividend are the opposite way around",27
196,196,Confuses a variable with an equation,42
197,197,"Believes an outlier is the value in a data set with the biggest denominator, even if this value is close to the mean",67
198,198,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits",106
199,199,"Believes that when multiplying a number with a power, the multiplier is added onto the power",18
200,200,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated",53
201,201,Believes substituting the starting value into an iteration formula immediately gives the solution,103
202,202,"When asked to add fractions, multiplies instead",55
203,203,Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers,106
204,204,Confuses scalene and equilateral triangles,4
205,205,Thinks there are 1000mm in a km,54
206,206,Thinks a cylinder is a prism,10
207,207,Confuses the terms faces and edges,10
208,208,Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it,64
209,209,"When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector. ",95
210,210,Thinks the term in a sequence is double the position value,103
211,211,Believes displacement continues to increase even when returning to starting point,89
212,212,Solves for y=0 instead of given y-value when reading from a quadratic graph,104
213,213,Thinks there are 10 mg in a gram,3
214,214,Does not understand the 'less than' inequality notation,12
215,215,"When asked for a specific term in a sequence, just gives the position number",103
216,216,Believes the smallest number in a set of numbers is always their highest common factor,56
217,217,"When adding fractions, adds the numerators and denominators",55
218,218,Does not interpret a sloping gradient as a change in rate,28
219,219,Does not know that a right angle is 90 degrees,63
220,220,Only multiplies the first term in the expansion of a bracket,64
221,221,Thinks ratios are written as 1:total,25
222,222,Does not know the meaning of absolute value,99
223,223,Mixes up cubing with multiplying by 10,68
224,224,Forgets to swap the sign of roots when placing into brackets,22
225,225,Confuses frequency of one class with cumulative frequency,51
226,226,Thinks rectangles have line symmetry in the diagonals ,107
227,227,Ignores a more than question and just states one of the values,38
228,228,Divides rather than subtracts when given the command 'less than',112
229,229,Does not account for scale on diagram,17
230,230,Thinks 1l = 1 cubic metre,31
231,231,Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal,27
232,232,"When dividing by a fraction, switches to multiplication without also using the reciprocal",61
233,233,"Cannot estimate the relative volume order, for different objects",62
234,234,Subtracts instead of adds,2
235,235,Thinks adjacent angles are equal,66
236,236,Thinks corresponding angles sum to 180 degrees,70
237,237,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation,37
238,238,"When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers",29
239,239,Finds a common multiple but not the lowest common multiple,56
240,240,"Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds",27
241,241,Thinks co-interior angles sum to 360 degrees,70
242,242,Thinks the hundred thousands column is the ten thousands column,85
243,243,Identifies a common factor but not the highest common factor,56
244,244,Believes the solution of mx + c = 0 is x = m,77
245,245,Does not realise that to maintain balance in an equation they must add or subtract the same amount from both sides,52
246,246,Does not think a kilogram is a unit of mass,21
247,247,Found the percentage but added it to 100%,101
248,248,Believes a pie chart makes 360% not 360 degrees,74
249,249,Does not understand a denominator represents equal parts,91
250,250,Believes a fraction cannot have a numerator of 0,91
251,251,"Includes a data point with the value, when asked to find the number of data points below a value",9
252,252,Does not think 'other' is an acceptable category for data,17
253,253,Does not recognise that all lengths on a cube are equal,48
254,254,Believes all triangle numbers are odd,49
255,255,Does not know the meaning of the word regular ,63
256,256,Does not reverse the order of operations when solving an equation,109
257,257,Uses numerator as whole part of a fraction,91
258,258,"When finding a missing number in a factor tree, multiplies by the factor given rather than dividing.",33
259,259,"Thinks that when drawing the elevation, the bottom layer does not need to be included ",82
260,260,Thinks cubing a number means adding 3 to that number,68
261,261,When multiplying just writes the numbers next to each other,95
262,262,Believes the intersection in a prime factor venn diagram does not contribute to the size of the number represented by a circle ,33
263,263,"Does not understand direction of North East, North West, South East and South West cardinal points",0
264,264,Subtracted rather than divided by a scale factor,34
265,265,Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised,104
266,266,Identifies a letter as a common factor but doesn't identify a number as a common factor,56
267,267,Writes the variable before the coefficient in an algebraic term,79
268,268,Believes lines of reflection must be vertical or horizontal,107
269,269,"When finding the distance between 2 points, believes the distance is the coordinate of the furthest point from origin",89
270,270,Thinks the term polygons only applies to shapes with more than 3 sides,10
271,271,Believes triangle numbers are formed differently to the correct way,49
272,272,When finding a missing side of a parallelogram given the area completes an extra step of dividing by 2,108
273,273,Thinks 1l = 1 cubic centimetre,31
274,274,Confuses angle of a sector with the radius,58
275,275,"When finding a point on a line, assumes the point is always the midpoint",72
276,276,Adds rather than multiplies when scaling up in direct proportion problems,65
277,277,Thinks pressure is force per unit volume,75
278,278,Believes a power of 2 has no impact on its value,18
279,279,Mixes up square rooting and cube rooting,47
280,280,Describes lines when asked to describe angles,63
281,281,Thinks that if two lines do not intersect on a diagram then they will never intersect and are therefore parallel,7
282,282,Does not understand that a point on the line of reflection will stay the same when reflected ,107
283,283,Believes reflection in y = -x switches x and y coordinates,88
284,284,Believes the gradient of a speed-time graph is the speed,28
285,285,Lines up the digits incorrectly when doing an addition involving two numbers with a different amount of digits,32
286,286,"when subtracting a fraction from an integer, just adds their absolute value and places a negative sign in front",78
287,287,Thinks y = ? is a vertical line through ?,107
288,288,Does not break down all factors in a factor tree to primes,33
289,289,Writes the numerator and the denominator the wrong way round in a probability,84
290,290,Thinks a decreasing sequence cannot be quadratic,104
291,291,Thinks a negative y value in a column vector means to move up rather than down,0
292,292,Converts fraction to percentage by putting % sign after the denominator,11
293,293,Does not understand that similar shapes sides must all have the same scale factor,69
294,294,Thinks that only the sides need to be equal for a polygon to be regular,10
295,295,Does not know the word and/or does not know the function of a compass,63
296,296,Ordered fractions by comparing denominators rather than using equivalent fractions.,57
297,297,Forgets you need a compass to draw arcs,63
298,298,Confuses a constant with a variable,42
299,299,"When solving time problems, finds the difference in the hours and the difference in the minutes but then assumes the minutes will be added on to the number of hours",43
300,300,Believes a direct proportion graph does not have to start at the origin,65
301,301,Thinks you can multiply by a decimal to find a multiple of a number,106
302,302,Assumed each part of a fraction diagram is worth 10%,90
303,303,"Believes that when eliminating a variable, if the signs of the terms with matching coefficients are the same, we do the operation inverse to the sign (- if positive, + if negative)",53
304,304,Believes knowing the perimeter of squares does not give you enough information to find the perimeter of combines shapes using those squares,48
305,305,Does not know the formula for area of a trapezium,96
306,306,Added rather than multiplied by a scale factor,34
307,307,"When using Pythagoras to find the height of an isosceles triangle, uses the whole base instead of half",4
308,308,Believes that dividing by 100 gives 10%,90
309,309,Believes angles on a straight line add to 90 degrees,70
310,310,"Guesses when something is ""twice as high/much"", rather than multiplying by 2",113
311,311,Believes gradient is the sum of y the coordinates divided by the sum of the x co-ordinates ,28
312,312,"In ratio question where the difference between the sides is given, uses that as the total for one side instead",81
313,313,Believes edges of a 3D shape do not include edges of base,10
314,314,"When calculating the power of a negative number, thinks they can ignore the sign when multiplying and then put a negative sign back on at the end, regardless of the power ",99
315,315,Has not realised that the answer may be changed by the insertion of brackets,64
316,316,Mixes up primary and secondary data types,17
317,317,"When multiplying fractions, adds the numerators and multiplies the denominators",95
318,318,"Assumes that converting a decimal percentage to a fraction, they can just convert the decimal to a fraction, instead of writing the decimal over 100.",20
319,319,"When factorising, thinks the smallest coefficient will be the numerical factor, regardless of whether it divides into all terms",87
320,320,"When factorising into double brackets, finds the two values which sum to give the constant rather than the coefficient of x",1
321,321,Believes class width multiplied by frequency gives frequency density,75
322,322,Believes that rounding must change the number,102
323,323,"When measuring a line segment with a ruler, assumes the line starts at 0",39
324,324,Believes the two variables have to add to the same value in inverse proportion,65
325,325,Does not check the labelling of the axes ,71
326,326,"When converting fractions to ratios, puts the other side of the ratio as the total of the numerator and denominator",25
327,327,Mixes up total and part in ratio,81
328,328,Performs addition ahead of multiplication,109
329,329,Does not understand a percentage is out of 100,101
330,330,"When working with inverse and direct proportion, forgets to apply the root or index to find k, but remembers when doing the second calculation",65
331,331,Does not understand the term factor,33
332,332,Confuses reciprocal and quadratic graphs,37
333,333,Not considered the y value when reading coordinates,71
334,334,"When solving an equation with x in the denominator, thinks the inverse operation is to make it the numerator on the other side",19
335,335,Believes 30% is equivalent to 1/3,11
336,336,Does not understand that having values after the decimal point makes a number larger than a number with the same units but no decimal places,36
337,337,Believes the solution of mx + c = a is x =a,77
338,338,Believes only straight lines count as edges on 3D shapes,10
339,339,"When dividing, ignores any remainders",27
340,340,Does not understand that when multiplying both sides of an equation by an amount every term must be multiplied by the same amount,52
341,341,Believes the second term in a 2 term quadratic equation is always a coefficient and the variable,104
342,342,Uses the whole base rather than half the base when forming a right angled triangle from an isosceles triangle,4
343,343,Estimates the frequency shown on a pie chart rather than calculating,74
344,344,Does not understand that a probability of 0 represents something that is impossible,14
345,345,Has treated this like an addition problem and added the ones column.,32
346,346,Does not understand how to multiply algebraic terms,79
347,347,"When solving an equation with a fraction, thinks you don't need to multiply every term on both sides when multiplying by the denominator ",52
348,348,Writes times in the afternoon as if 10 is midday on a 24 hour clock,43
349,349,"When adding surds, just multiplies the numbers under the surd rather than first trying to simplifying to find like surds",50
350,350,Forgets to carry the tens when doing column multiplication,85
351,351,Thinks a chord does not have to start and end at the circumference of the circle.,58
352,352,Believes the fx column for calculating mean is value - frequency,8
353,353,Does not recognise when one part of a fraction is the negative of the other,91
354,354,Believes class width represents frequency in a histogram,75
355,355,Thinks the interior angle of a regular polygon is 10n,44
356,356,Finds the sum of the missing angles but not the angle being asked,110
357,357,Does not understand that in the ratio 1:n the total number of parts would be 1+n ,25
358,358,Believes digits of a number are read/written from right to left,85
359,359,Confuses random and stratified sampling methods,14
360,360,Gives frequency when asked for relative frequency,75
361,361,Believes that repeated prime factors are only counted once,33
362,362,Believes f(x) - a translates the function right a units,88
363,363,Only applies a division to one of multiple terms in a numerator when simplifying an algebraic fraction,87
364,364,Thinks they just remove the decimal point when converting a decimal to a percentage,20
365,365,Thinks that we cannot calculate the range if values are repeated,67
366,366,Does not know the meaning of the identity symbol,52
367,367,Does not know that co-interior angles must be in parallel lines,66
368,368,Thinks a kite has one pair of parallel sides,66
369,369,Forgets to add starting value when calculating new coordinates,71
370,370,"When solving simultaneous equations, believes the terms must have the same sign in order to be eliminated.",53
371,371,"When dividing fractions, divides by the reciprocal, instead of multiplies",61
372,372,"In ratio question where the difference between the sides is given, uses that as the total",81
373,373,Believes you can add or subtract from inside brackets without expanding when solving an equation,64
374,374,Thinks a hexagon has 8 sides.,10
375,375,Believes you can only have one mode,111
376,376,Unable to equate a division and multiplication to a single division,27
377,377,"When asked for the mean of a list of data, gives the mode",29
378,378,"When finding the difference between two points on a time series graph, only uses one of the points. ",89
379,379,Finds the y intercept when asked to read the solution to a quadratic equation from a graph,77
380,380,Does not understand the first significant value is the first non-zero digit number,85
381,381,"When dividing a fraction by an integer, divides both the numerator and denominator by the integer",61
382,382,Does not know how to combine different symbols in Roman numerals,73
383,383,confuses cubic and reciprocal graphs,37
384,384,"When solving simultaneous equations graphically, they think the solutions are the x-intercepts",77
385,385,"Thinks the reciprocal of n, 1/n = 0.n",19
386,386,Believes that an exterior angle can have a value of 360 degrees,44
387,387,Thinks there are 100 seconds in a minute,43
388,388,When placing a negative number on a number line student assumes numbers with a greater absolute value are placed to the right.,12
389,389,Combines variables with constants when writing a formula from a given situation,97
390,390,Believes you find the mode by calculating the mean,29
391,391,Mixes up the value of two terms when substituting,6
392,392,"Believes you divide 1 by the number of values, rather than the total, when finding the mean",29
393,393,Believes adding coordinates of endpoint and midpoint of a line will give the other endpoint,89
394,394,Divides instead of multiplies when multiplying by a decimal,106
395,395,"Thinks there are 10,000kg in a tonne",3
396,396,Does not recognise the height of a trapezium as the perpendicular length between the parallel sides,96
397,397,When calculating the range does not reorder the data to find the largest number minus the smallest number,67
398,398,Does not know that we can use the conservation of perimeter to find missing lengths,48
399,399,Confuses place value when rounding to estimate,26
400,400,Thinks multiplying a variable by a number is the same as raising that variable to the power of that number,68
401,401,"When given the equation of a straight line, believes the first term always gives the gradient, even when the first term is actually c",28
402,402,Does not know the definition of a cone,63
403,403,"When rationalising the denominator, confuses the numerator with the denominator",19
404,404,Uses cos when sin is required,46
405,405,Believes the only way to find the interior angle of a regular polygon is to subtract the exterior angle from 180.,44
406,406,Believes class width multipled by frequency gives the area of the bar in a histogram,75
407,407,Does not equate y=-x with x=-y,88
408,408,"When multiplying fractions, multiplies both the numerator and denominator",55
409,409,Identifies first decimal place value when asked for first significant figure,85
410,410,Believes the size of an angle can be given as a word rather than a number,110
411,411,"When identifying the center of rotation, chooses a point with the wrong y-value",83
412,412,Assumes that an enlargement is always from the smaller object to the bigger one,34
413,413,"Believes that n/n = n, instead of 1",91
414,414,Divides by the order of the root,47
415,415,Incorrectly identifies angles as vertically opposite,7
416,416,Believes the intersection of two complements can be found using the complement of the intersection,86
417,417,"When reading values from graphs, writes down the wrong units",54
418,418,"Believes that when factorising a quadratic, they can choose any two numbers that add to give the coefficient of x",87
419,419,"When converting a fraction to a decimal, divides the denominator by the numerator",19
420,420,"When finding bearings, finds the back bearing to what the question is actually asking",0
421,421,Mixes up odd and even numbers,5
422,422,Thinks x = y is an axis,39
423,423,Does not know the meaning of equilateral,63
424,424,Adds 3 decimal places rather than moving 3 places,85
425,425,Assumes the third column of a grouped frequency table is always cumulative frequency,51
426,426,Believes corresponding angles sum to 90 degrees,70
427,427,Answers as if there are 100 minutes in an hour when writing minutes as decimals,43
428,428,"When a point is on an axis, gives both coordinates as the value it's at on the axis",71
429,429,"When multiplying a surd by an integer, believes the value under the surd can be swapped with the integer",50
430,430,"When finding bearings, finds the bearing going in the reverse direction to the one stated",0
431,431,Finds interior angle rather than given angle,44
432,432,Believes the equation of a straight line is y=-mx-c,16
433,433,Believes a negative power results in a negative answer,18
434,434,"Believes only angles on parallel lines can be called ""corresponding""",7
435,435,Finds a scale factor but forgets to multiply the original value in proportion questions,34
436,436,Does not understand when like terms can be collected,79
437,437,Does not recognise that probabilities of all possible outcomes will sum to 1,14
438,438,Believes cubing a number means you multiply it by 3,68
439,439,Believes gradient = change in y multiplied by change in x,28
440,440,Thinks n=0 for the first term in a sequence,41
441,441,Does not recognise a unit of volume,21
442,442,Confuses cumulative frequency and frequency density,75
443,443,Thinks there are 12 hours in 1 day,43
444,444,Confuses the value outside of a Venn diagram as the total number of entries in the diagram,86
445,445,Counts squares instead of the correct scale when plotting coordinates,71
446,446,Repeats the digits twice when squaring a number,113
447,447,Believes dividing by 0.1 is the same as dividing by 10,27
448,448,Confuses adjacent and opposite sides,7
449,449,"Does not realise we can scale the perimeter as a whole, rather than finding individual side lengths",48
450,450,Confuses the terms faces and vertices,10
451,451,Does not recognise parallel lines angle rules applied inside a shape,63
452,452,"When a variable in an expression has a power, thinks the power applies to the whole expression",18
453,453,Believes qualitative data can be continuous,17
454,454,Thinks measures of area must end in squared,108
455,455,Subtracts 1 rather than 2 from the number of sides when finding the sum of interior angles,44
456,456,Believes you can divide the change by 100 to find the percentage change ,101
457,457,Does not know how to calculate volume,62
458,458,When finding an input of a function machine thinks you apply the operations given rather than the inverse operation.,100
459,459,confuses circumference and area,58
460,460,"Believes the graph of x squared + c has the turning point of (-c, 0)",77
461,461,"When finding the median for an odd numbered data set, find the midpoint of two values rather than giving the middle value",105
462,462,Thinks that they can combine functions in a function machine before applying them to the input,109
463,463,Reads the complement of what is required from a pie chart,74
464,464,Believes that you are unable to calculate the sum of the interior angles of an irregular polygon given the number of sides,44
465,465,Does not know the diagonals of a square bisect at right angles,63
466,466,"When calculating with numbers in standard form, just applies the operation to the number and the power separately",93
467,467,Treats zero as a ten when subtracting,35
468,468,Believes you find the frequency for a pie chart sector by calculating its angle divided by the total frequency,74
469,469,Believes the position of a sequence cannot be an integer,103
470,470,Cannot reflect shape when line of symmetry is diagonal ,107
471,471,Believes that the solution to ax + b = 0 is x = -a/b,22
472,472,Multiplies the value as if the original recipe was for 1 person,38
473,473,Underestimates the impact of the size of images in a misleading statistical diagram,17
474,474,Thinks 1l = 100 cubic centimetres,31
475,475,Believes the total of a part whole model is always 1 (or equivalent) instead of the given total,92
476,476,Thinks Angle-Angle-Angle triangles are congruent,49
477,477,"Believes when multiplying fractions you cross multiply top left and bottom right for numerator, and the other diagonal for denominator",55
478,478,Does not know what a square number is,5
479,479,Thinks a divide and a negative sign next to each other makes a plus,59
480,480,Believes that angles that look like they are a right-angle are always 90 degrees,98
481,481,Thinks the inverse of subtraction is multiplication,100
482,482,"When simplifying surds, does not understand that the simplified root is what is left after dividing out the largest square number",50
483,483,"Thinks that the square root of an expression square roots each term in the expression, rather than square rooting the whole expression",64
484,484,Mistakes cube root for cubing the number,68
485,485,Believes 1 is not a factor of a number,33
486,486,Does not square the conversion factor when converting squared units,54
